transcript,protein,uniprot,align,identity,evalue,name,lineage,domain,genus
TRINITY_DN1112_c3_g1_i11,TRINITY_DN1112_c3_g1_i11.p1,TIF1B_HUMAN,"Q:29-592,H:139-370",25.424,6.18E-06,Transcription intermediary factor 1-beta,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN11121_c0_g1_i5,TRINITY_DN11121_c0_g1_i5.p1,HPSE_HUMAN,"Q:92-1456,H:39-542",34.57,2.91E-79,Heparanase,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN11121_c0_g1_i6,TRINITY_DN11121_c0_g1_i6.p1,HPSE_CHICK,"Q:86-1456,H:17-522",35.659,5.81E-80,Heparanase,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Gallus,Eukaryota,Gallus
TRINITY_DN11122_c0_g1_i1,TRINITY_DN11122_c0_g1_i1.p1,DYH8_MOUSE,"Q:4676-855,H:3560-4725",24.71,1.28E-107,"Dynein heavy chain 8, axonemal",Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN111220_c0_g1_i1,TRINITY_DN111220_c0_g1_i1.p1,SNX14_MOUSE,"Q:386-922,H:160-329",27.222,1.26E-12,Sorting nexin-14,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN11123_c0_g2_i4,TRINITY_DN11123_c0_g2_i4.p1,CAD99_DROME,"Q:599-3280,H:93-969",31.522,3.56E-76,Cadherin-99C,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora,Eukaryota,Sophophora
TRINITY_DN11123_c0_g2_i7,TRINITY_DN11123_c0_g2_i7.p1,CAD99_DROME,"Q:614-3370,H:93-993",31.429,6.92E-78,Cadherin-99C,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora,Eukaryota,Sophophora
TRINITY_DN111237_c0_g1_i1,TRINITY_DN111237_c0_g1_i1.p1,SREC2_MOUSE,"Q:15-374,H:222-326",38.843,5.74E-14,Scavenger receptor class F member 2,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN111237_c0_g1_i2,TRINITY_DN111237_c0_g1_i2.p1,SREC2_MOUSE,"Q:15-266,H:222-301",42.857,6.04E-12,Scavenger receptor class F member 2,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN11124_c0_g1_i3,TRINITY_DN11124_c0_g1_i3.p1,MIB2_CHICK,"Q:97-2391,H:12-791",32.752,1.02E-123,E3 ubiquitin-protein ligase MIB2,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Gallus,Eukaryota,Gallus
TRINITY_DN11127_c0_g1_i3,TRINITY_DN11127_c0_g1_i3.p1,PA24A_HORSE,"Q:766-3021,H:1-725",46.762,0,Cytosolic phospholipase A2,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Perissodactyla; Equidae; Equus,Eukaryota,Equus
TRINITY_DN11128_c0_g2_i11,TRINITY_DN11128_c0_g2_i11.p1,CP3AO_SHEEP,"Q:756-1619,H:66-335",39.863,8.76E-57,Cytochrome P450 3A24,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis,Eukaryota,Ovis
TRINITY_DN11128_c0_g2_i16,NA,C340_ORYLA,"Q:505-858,H:65-182",40.164,1.05E-32,Cytochrome P450 3A40,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Atherinomorphae; Beloniformes; Adrianichthyidae; Oryziinae; Oryzias,Eukaryota,Oryzias
TRINITY_DN11128_c0_g2_i18,TRINITY_DN11128_c0_g2_i18.p1,CP3AT_PIG,"Q:727-1710,H:25-336",39.458,3.45E-65,Cytochrome P450 3A29,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Suina; Suidae; Sus,Eukaryota,Sus
TRINITY_DN11128_c0_g2_i20,NA,CP341_MOUSE,"Q:210-365,H:289-340",65.385,1.90E-14,Cytochrome P450 3A41,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN11128_c0_g2_i22,TRINITY_DN11128_c0_g2_i22.p1,CP3AT_PIG,"Q:103-606,H:13-182",40.698,5.75E-33,Cytochrome P450 3A29,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Suina; Suidae; Sus,Eukaryota,Sus
TRINITY_DN11128_c0_g2_i7,NA,C340_ORYLA,"Q:218-571,H:65-182",40.164,1.49E-21,Cytochrome P450 3A40,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Atherinomorphae; Beloniformes; Adrianichthyidae; Oryziinae; Oryzias,Eukaryota,Oryzias
TRINITY_DN11129_c0_g1_i3,TRINITY_DN11129_c0_g1_i3.p1,SKY_DROME,"Q:532-1974,H:83-584",37.747,3.29E-112,GTPase-activating protein skywalker,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora,Eukaryota,Sophophora
TRINITY_DN1113_c0_g2_i13,TRINITY_DN1113_c0_g2_i13.p1,TCB1_CAEBR,"Q:1456-2208,H:23-273",35.686,1.29E-31,Transposable element Tcb1 transposase,Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis,Eukaryota,Caenorhabditis
TRINITY_DN1113_c0_g2_i5,TRINITY_DN1113_c0_g2_i5.p1,TCB1_CAEBR,"Q:1928-1176,H:23-273",36.078,1.35E-32,Transposable element Tcb1 transposase,Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis,Eukaryota,Caenorhabditis
TRINITY_DN1113_c0_g2_i8,TRINITY_DN1113_c0_g2_i8.p1,TCB1_CAEBR,"Q:1148-1900,H:23-273",35.686,8.22E-32,Transposable element Tcb1 transposase,Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis,Eukaryota,Caenorhabditis
TRINITY_DN1113_c0_g2_i9,TRINITY_DN1113_c0_g2_i9.p1,TCB1_CAEBR,"Q:1148-1900,H:23-273",35.686,9.84E-32,Transposable element Tcb1 transposase,Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis,Eukaryota,Caenorhabditis
TRINITY_DN1113_c6_g1_i3,NA,YTX2_XENLA,"Q:3-269,H:461-548",44.944,4.37E-18,Transposon TX1 uncharacterized 149 kDa protein,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus,Eukaryota,Xenopus
TRINITY_DN1113_c6_g1_i9,NA,YTX2_XENLA,"Q:178-444,H:518-606",39.326,8.90E-21,Transposon TX1 uncharacterized 149 kDa protein,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus,Eukaryota,Xenopus
TRINITY_DN111305_c0_g1_i1,TRINITY_DN111305_c0_g1_i1.p1,GAGXE_DROME,"Q:143-328,H:285-350",39.394,7.68E-09,Nucleic-acid-binding protein from transposon X-element,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora,Eukaryota,Sophophora
TRINITY_DN111322_c0_g1_i5,TRINITY_DN111322_c0_g1_i5.p1,GIMA5_RAT,"Q:1196-1795,H:6-205",30.189,3.49E-12,GTPase IMAP family member 5,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus,Eukaryota,Rattus
TRINITY_DN111324_c0_g1_i2,NA,TC1A_CAEEL,"Q:224-3,H:195-268",37.838,9.18E-09,Transposable element Tc1 transposase,Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis,Eukaryota,Caenorhabditis
TRINITY_DN111327_c0_g1_i1,TRINITY_DN111327_c0_g1_i1.p1,HSP97_STRPU,"Q:5-427,H:26-166",47.518,1.65E-39,97 kDa heat shock protein,Eukaryota; Metazoa; Echinodermata; Eleutherozoa; Echinozoa; Echinoidea; Euechinoidea; Echinacea; Echinoida; Strongylocentrotidae; Strongylocentrotus,Eukaryota,Strongylocentrotus
TRINITY_DN11133_c0_g1_i2,NA,CDC26_DANRE,"Q:1069-845,H:1-83",40,3.61E-11,Anaphase-promoting complex subunit CDC26,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio,Eukaryota,Danio
TRINITY_DN11133_c0_g1_i4,NA,CDC26_DANRE,"Q:1080-856,H:1-83",40,3.66E-11,Anaphase-promoting complex subunit CDC26,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio,Eukaryota,Danio
TRINITY_DN111331_c0_g1_i1,TRINITY_DN111331_c0_g1_i1.p1,TRAP1_DICDI,"Q:475-2259,H:96-697",47.603,0,"TNF receptor-associated protein 1 homolog, mitochondrial",Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Dictyostelids; Dictyosteliales; Dictyosteliaceae; Dictyostelium,Eukaryota,Dictyostelium
TRINITY_DN11134_c1_g1_i1,TRINITY_DN11134_c1_g1_i1.p1,PK3CA_HUMAN,"Q:3-455,H:914-1064",65.563,3.54E-64,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN11135_c0_g1_i1,TRINITY_DN11135_c0_g1_i1.p1,SIAE_HUMAN,"Q:2119-1130,H:28-374",40.517,3.04E-72,Sialate O-acetylesterase,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN11135_c0_g1_i2,TRINITY_DN11135_c0_g1_i2.p1,SIAE_MOUSE,"Q:1484-78,H:28-532",36.699,8.85E-105,Sialate O-acetylesterase,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN11135_c0_g1_i3,TRINITY_DN11135_c0_g1_i3.p1,SIAE_MOUSE,"Q:1583-78,H:28-532",37.137,1.41E-103,Sialate O-acetylesterase,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN11135_c0_g1_i4,NA,SIAE_PONAB,"Q:300-109,H:209-279",43.662,3.17E-09,Sialate O-acetylesterase,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pongo,Eukaryota,Pongo
TRINITY_DN11136_c0_g1_i3,TRINITY_DN11136_c0_g1_i3.p1,FUT10_CANLF,"Q:321-1511,H:78-471",39.303,1.01E-85,"Alpha-(1,3)-fucosyltransferase 10",Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis,Eukaryota,Canis
TRINITY_DN11138_c0_g1_i6,TRINITY_DN11138_c0_g1_i6.p1,SC5A6_RAT,"Q:2895-1420,H:10-512",51.19,5.64E-150,Sodium-dependent multivitamin transporter,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus,Eukaryota,Rattus
TRINITY_DN11138_c0_g1_i8,TRINITY_DN11138_c0_g1_i8.p1,SC5A6_RAT,"Q:2899-1424,H:10-512",51.19,5.92E-150,Sodium-dependent multivitamin transporter,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus,Eukaryota,Rattus
TRINITY_DN11138_c0_g1_i9,TRINITY_DN11138_c0_g1_i9.p1,SC5A6_HUMAN,"Q:1605-1354,H:425-508",53.571,9.45E-15,Sodium-dependent multivitamin transporter,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN111385_c0_g1_i4,TRINITY_DN111385_c0_g1_i4.p1,TENX_HUMAN,"Q:1351-650,H:205-461",31.599,4.83E-15,Tenascin-X,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN11139_c0_g1_i4,TRINITY_DN11139_c0_g1_i4.p1,TESP1_MOUSE,"Q:798-1145,H:95-203",38.462,2.33E-06,Protein TESPA1,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN11140_c0_g1_i1,NA,SYDM_RAT,"Q:1173-937,H:554-632",60.759,1.90E-18,"Aspartate--tRNA ligase, mitochondrial",Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus,Eukaryota,Rattus
TRINITY_DN11140_c0_g1_i5,TRINITY_DN11140_c0_g1_i5.p1,SYDM_BOVIN,"Q:2730-937,H:33-630",55.814,0,"Aspartate--tRNA ligase, mitochondrial",Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos,Eukaryota,Bos
TRINITY_DN11140_c0_g1_i7,NA,SYDM_RAT,"Q:1175-765,H:496-632",68.613,1.07E-53,"Aspartate--tRNA ligase, mitochondrial",Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus,Eukaryota,Rattus
TRINITY_DN11140_c1_g1_i1,NA,SYDM_BOVIN,"Q:4-243,H:447-524",41.463,8.47E-11,"Aspartate--tRNA ligase, mitochondrial",Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos,Eukaryota,Bos
TRINITY_DN11142_c0_g1_i1,TRINITY_DN11142_c0_g1_i1.p1,NADAP_HUMAN,"Q:2361-1114,H:153-575",47.685,3.60E-103,Kanadaptin,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN11142_c0_g1_i3,TRINITY_DN11142_c0_g1_i3.p1,NADAP_HUMAN,"Q:2310-1063,H:153-575",47.685,2.50E-103,Kanadaptin,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN111421_c0_g1_i1,NA,RBCC1_MOUSE,"Q:9-281,H:446-536",38.043,9.13E-09,RB1-inducible coiled-coil protein 1,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN11148_c0_g1_i2,TRINITY_DN11148_c0_g1_i2.p1,ST1B1_HUMAN,"Q:197-469,H:18-124",35.514,1.61E-10,Sulfotransferase family cytosolic 1B member 1,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN111481_c0_g1_i4,TRINITY_DN111481_c0_g1_i4.p2,CEL_HUMAN,"Q:56-439,H:598-725",45.312,7.11E-11,Bile salt-activated lipase,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN1115_c0_g1_i1,TRINITY_DN1115_c0_g1_i1.p1,PHIPL_XENTR,"Q:192-815,H:165-372",34.884,2.81E-30,Phytanoyl-CoA hydroxylase-interacting protein-like,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana,Eukaryota,Silurana
TRINITY_DN1115_c0_g1_i3,TRINITY_DN1115_c0_g1_i3.p1,PHIPL_XENTR,"Q:261-956,H:139-373",33.471,1.91E-30,Phytanoyl-CoA hydroxylase-interacting protein-like,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana,Eukaryota,Silurana
TRINITY_DN1115_c0_g1_i5,TRINITY_DN1115_c0_g1_i5.p1,PHYIP_RAT,"Q:156-821,H:100-326",33.333,1.39E-28,Phytanoyl-CoA hydroxylase-interacting protein,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus,Eukaryota,Rattus
TRINITY_DN1115_c0_g1_i7,TRINITY_DN1115_c0_g1_i7.p1,PHIPL_XENTR,"Q:261-968,H:139-372",32.932,3.15E-30,Phytanoyl-CoA hydroxylase-interacting protein-like,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana,Eukaryota,Silurana
TRINITY_DN11150_c0_g1_i1,TRINITY_DN11150_c0_g1_i1.p2,ANR17_MOUSE,"Q:2-244,H:1325-1404",39.506,2.17E-10,Ankyrin repeat domain-containing protein 17,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN11150_c0_g1_i10,TRINITY_DN11150_c0_g1_i10.p2,ANR50_HUMAN,"Q:463-831,H:782-903",34.959,2.65E-23,Ankyrin repeat domain-containing protein 50,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN11150_c0_g1_i11,TRINITY_DN11150_c0_g1_i11.p1,ANR50_HUMAN,"Q:17-535,H:663-838",33.898,2.71E-32,Ankyrin repeat domain-containing protein 50,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN11150_c0_g1_i12,TRINITY_DN11150_c0_g1_i12.p1,ANR17_MOUSE,"Q:2-706,H:444-682",30.364,1.10E-19,Ankyrin repeat domain-containing protein 17,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN11150_c0_g1_i15,TRINITY_DN11150_c0_g1_i15.p1,INVS_MOUSE,"Q:14-334,H:342-447",32.71,4.09E-13,Inversin,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN11150_c0_g1_i2,NA,KOR2_ORYSJ,"Q:17-226,H:547-615",35.714,1.74E-07,Potassium channel KOR2,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa,Eukaryota,Oryza sativa
TRINITY_DN11150_c0_g1_i5,TRINITY_DN11150_c0_g1_i5.p1,KOR1_ORYSJ,"Q:17-361,H:583-693",38.261,3.28E-14,Potassium channel KOR1,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa,Eukaryota,Oryza sativa
TRINITY_DN11150_c0_g1_i7,NA,ANR17_MOUSE,"Q:2-415,H:574-705",32.609,9.06E-13,Ankyrin repeat domain-containing protein 17,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN11150_c0_g1_i8,NA,TANC2_HUMAN,"Q:155-370,H:1100-1170",44.444,2.07E-11,Protein TANC2,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN11150_c0_g1_i9,NA,ANR17_MOUSE,"Q:91-339,H:562-649",42.697,1.17E-12,Ankyrin repeat domain-containing protein 17,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN11150_c0_g2_i1,TRINITY_DN11150_c0_g2_i1.p1,ANR50_HUMAN,"Q:7-1050,H:726-1102",30.89,4.13E-39,Ankyrin repeat domain-containing protein 50,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN111504_c0_g1_i1,NA,ST1C2_MOUSE,"Q:107-6,H:252-285",61.765,9.63E-06,Sulfotransferase 1C2,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN111517_c0_g2_i1,TRINITY_DN111517_c0_g2_i1.p1,AWH_DROME,"Q:35-625,H:1-202",66.337,3.43E-82,LIM/homeobox protein Awh,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora,Eukaryota,Sophophora
TRINITY_DN11155_c1_g1_i2,TRINITY_DN11155_c1_g1_i2.p1,PIA2_ARATH,"Q:488-820,H:29-139",41.593,2.86E-16,Phytochrome-interacting ankyrin-repeat protein 2,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis,Eukaryota,Arabidopsis
TRINITY_DN111575_c0_g1_i4,TRINITY_DN111575_c0_g1_i4.p1,S46A3_CHICK,"Q:296-12,H:20-117",35,3.25E-09,Solute carrier family 46 member 3,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Gallus,Eukaryota,Gallus
